Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Posture
2023-10-02 01:27:39,-0.0865,-0.0035,-1.0117,0.92,-2.14,0.12,73.01,-63.28,7.68,side
2023-10-02 01:27:39,-0.0826,-0.0044,-1.021,1.1,-1.95,0.12,72.73,-63.09,7.52,side
2023-10-02 01:27:39,-0.087,-0.0049,-1.014,0.85,-1.95,0.12,72.94,-62.98,7.57,side
2023-10-02 01:27:39,-0.0822,-0.0043,-1.015,0.92,-2.01,0.24,72.86,-63.11,7.85,side
2023-10-02 01:27:39,-0.0883,-0.0039,-1.0153,0.98,-1.95,0.24,72.97,-62.79,7.12,side
2023-10-02 01:27:40,-0.0863,-0.0043,-1.017,0.73,-2.01,0.18,73.17,-63.49,7.37,side
2023-10-02 01:27:40,-0.0867,-0.0067,-1.0146,0.92,-2.01,0.24,73.41,-63.64,7.69,side
2023-10-02 01:27:40,-0.0831,-0.0042,-1.0142,0.85,-1.89,0.24,73.14,-63.02,7.42,side
2023-10-02 01:27:40,-0.0857,-0.0031,-1.0155,0.92,-1.83,0.12,72.66,-62.38,7.87,side
2023-10-02 01:27:40,-0.0856,-0.0027,-1.0153,0.92,-1.83,0.12,72.83,-63.34,7.08,side
2023-10-02 01:27:40,-0.0847,-0.0054,-1.0157,0.92,-2.08,0.06,72.84,-63.49,7.32,side
2023-10-02 01:27:40,-0.082,-0.0031,-1.0149,0.98,-2.08,0.06,73.61,-63.6,7.09,side
2023-10-02 01:27:40,-0.0833,-0.0055,-1.0156,0.85,-1.95,0.18,73.4,-63.38,7.32,side
2023-10-02 01:27:40,-0.0848,-0.002,-1.014,0.98,-2.08,0.24,73.57,-63.45,6.52,side
2023-10-02 01:27:40,-0.0846,-0.0079,-1.0148,0.98,-2.01,0.12,73.73,-63.4,7.46,side
2023-10-02 01:27:41,-0.0833,-0.0028,-1.0127,1.1,-1.95,0.18,72.96,-63.23,7.85,side
2023-10-02 01:27:41,-0.0852,-0.0067,-1.0142,0.85,-1.89,0.06,73.28,-63.7,6.32,side
2023-10-02 01:27:41,-0.0814,-0.0024,-1.0146,0.92,-1.89,0.18,73.02,-63.46,7.42,side
2023-10-02 01:27:41,-0.0872,-0.0062,-1.0155,0.79,-1.95,0.0,73.51,-62.54,8.25,side
2023-10-02 01:27:41,-0.0822,-0.0034,-1.0162,0.98,-2.08,0.12,73.21,-62.99,6.43,side
2023-10-02 01:27:41,-0.0861,-0.0034,-1.015,0.98,-2.2,0.31,73.11,-64.03,6.48,side
2023-10-02 01:27:41,-0.0844,-0.0043,-1.016,0.85,-1.77,0.12,72.73,-62.94,8.28,side
2023-10-02 01:27:41,-0.0801,-0.0421,-1.0205,0.79,-2.2,-0.98,72.8,-63.54,8.29,side
2023-10-02 01:27:41,-0.0697,-0.0869,-1.0172,-0.98,-4.39,-6.65,65.23,-69.52,8.84,side
2023-10-02 01:27:41,-0.0563,-0.0115,-1.021,10.31,-0.61,-8.61,59.39,-72.05,10.79,side
2023-10-02 01:27:42,-0.0891,0.0012,-1.0778,-24.23,2.93,-1.71,55.52,-69.79,12.16,side
2023-10-02 01:27:42,-0.1639,-0.1086,-1.0612,-0.24,-0.61,-1.83,57.89,-61.1,4.0,side
2023-10-02 01:27:42,-0.1149,-0.0244,-1.0057,1.28,22.46,-2.26,35.44,-46.25,-1.37,side
2023-10-02 01:27:42,-0.1711,-0.0464,-0.957,-8.91,30.64,-6.47,11.24,-31.09,-3.64,side
2023-10-02 01:27:42,-0.2743,-0.168,-1.0012,-11.17,11.17,-16.91,-4.41,-21.04,0.9,side
2023-10-02 01:27:42,-0.3456,-0.1609,-0.9889,-2.99,16.85,-11.6,-18.1,-17.3,10.4,side
2023-10-02 01:27:42,-0.312,-0.1228,-0.9343,-14.16,4.76,-8.73,-25.78,-11.58,19.91,side
2023-10-02 01:27:42,-0.3442,-0.1211,-0.9401,9.22,-10.44,-9.28,-30.04,-8.46,24.85,side
2023-10-02 01:27:42,-0.3475,-0.1506,-0.9772,-27.59,6.65,-15.69,-29.33,-6.7,27.12,side
2023-10-02 01:27:42,-0.283,-0.2349,-0.9829,-47.79,-42.79,-12.08,-29.64,-5.26,31.91,side
2023-10-02 01:27:43,-0.2279,-0.3511,-0.9633,-100.34,-56.88,-11.35,-30.59,0.12,44.02,side
2023-10-02 01:27:43,-0.1986,-0.582,-0.8632,-70.31,-17.52,-13.18,-29.58,10.46,52.51,side
2023-10-02 01:27:43,-0.2483,-0.6724,-0.7367,-89.29,-15.99,-27.16,-27.51,21.24,55.94,side
2023-10-02 01:27:43,-0.2211,-0.7008,-0.6349,-106.87,-28.69,-41.14,-25.07,32.63,54.83,side
2023-10-02 01:27:43,-0.2067,-0.876,-0.421,-100.77,-15.2,-23.5,-23.38,42.11,51.76,side
2023-10-02 01:27:43,-0.2428,-0.9651,-0.2164,-104.55,3.85,-4.46,-21.14,47.38,48.5,side
2023-10-02 01:27:43,-0.2725,-0.9479,-0.0293,-121.46,15.32,-0.79,-20.74,53.05,39.43,side
2023-10-02 01:27:43,-0.2754,-0.8594,0.2631,-102.36,4.76,5.07,-20.28,58.14,31.14,side
2023-10-02 01:27:43,-0.2089,-0.8041,0.4307,-81.79,56.76,40.47,-16.69,60.39,23.74,side
2023-10-02 01:27:43,-0.0576,-0.8616,0.5609,2.87,23.01,18.62,-12.27,61.56,19.18,side
2023-10-02 01:27:44,-0.1646,-0.8245,0.3354,2.62,-30.03,35.03,-12.7,64.12,21.12,side
2023-10-02 01:27:44,-0.035,-0.9508,0.4257,28.02,3.97,-32.04,-13.0,63.83,23.96,side
2023-10-02 01:27:44,-0.1146,-1.005,0.3152,23.62,2.14,3.6,-13.55,62.24,26.27,side
2023-10-02 01:27:44,-0.1121,-0.8655,0.4022,-16.6,-24.17,0.24,-13.93,62.59,22.81,side
2023-10-02 01:27:44,-0.1116,-0.9093,0.3718,-45.9,-14.1,-4.7,-12.38,65.16,22.18,side
2023-10-02 01:27:44,-0.1255,-0.8496,0.4316,-27.34,-17.03,1.28,-11.65,64.47,19.73,side
2023-10-02 01:27:44,-0.0527,-0.9138,0.5039,41.69,18.86,19.53,-12.28,65.61,21.64,side
2023-10-02 01:27:44,0.0035,-0.969,0.2672,33.26,-1.1,-7.75,-1.71,54.16,42.52,side
2023-10-02 01:27:44,0.0018,-0.9683,0.2694,0.98,-2.01,0.12,-2.19,53.93,41.88,side
2023-10-02 01:27:44,0.0037,-0.9691,0.2681,1.22,-2.01,0.18,-2.09,54.46,41.64,side
2023-10-02 01:27:45,0.0028,-0.9692,0.2673,1.22,-2.32,0.24,-1.86,53.94,43.09,side
2023-10-02 01:27:45,0.0042,-0.9684,0.2676,1.04,-2.2,0.18,-1.72,53.47,42.25,side
2023-10-02 01:27:45,0.0042,-0.9696,0.2678,0.98,-2.08,0.24,-2.17,54.52,41.58,side
2023-10-02 01:27:45,0.0034,-0.9691,0.2684,1.1,-2.14,0.12,-2.16,53.64,42.0,side
2023-10-02 01:27:45,0.004,-0.9691,0.2682,0.92,-2.08,0.06,-1.67,53.56,42.55,side
2023-10-02 01:27:45,0.0028,-0.9694,0.2675,1.04,-2.08,0.18,-2.7,54.64,40.91,side
