Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Posture
2023-10-02 02:22:47,-0.0248,0.9276,0.3165,0.61,-1.46,0.18,-4.72,-31.9,-49.24,sitting
2023-10-02 02:22:47,-0.0236,0.929,0.3136,0.43,-1.34,0.06,-5.05,-31.64,-48.97,sitting
2023-10-02 02:22:47,-0.0201,0.927,0.3141,0.79,-1.22,0.37,-4.58,-32.31,-49.08,sitting
2023-10-02 02:22:48,-0.0245,0.9271,0.3156,0.55,-1.46,0.24,-4.71,-31.91,-49.74,sitting
2023-10-02 02:22:48,-0.0226,0.9274,0.3154,0.61,-1.34,0.31,-4.88,-31.65,-49.73,sitting
2023-10-02 02:22:48,-0.0226,0.9275,0.3143,0.73,-1.4,0.18,-4.93,-32.08,-49.5,sitting
2023-10-02 02:22:48,-0.0253,0.9263,0.3154,0.67,-1.28,0.12,-4.92,-31.92,-49.05,sitting
2023-10-02 02:22:48,-0.0238,0.9287,0.3123,0.73,-1.46,0.18,-4.7,-31.52,-50.16,sitting
2023-10-02 02:22:48,-0.0212,0.9268,0.3206,0.73,-1.4,0.06,-4.83,-32.32,-49.4,sitting
2023-10-02 02:22:48,-0.0297,0.9286,0.3054,0.73,-1.46,0.37,-4.37,-32.14,-49.12,sitting
2023-10-02 02:22:48,-0.0232,0.9268,0.3156,0.49,-1.34,0.12,-5.11,-31.51,-49.18,sitting
2023-10-02 02:22:48,-0.0261,0.9252,0.3154,0.73,-1.46,0.24,-4.64,-32.12,-49.33,sitting
2023-10-02 02:22:48,-0.0229,0.9271,0.312,0.67,-1.34,0.18,-4.83,-32.47,-49.63,sitting
2023-10-02 02:22:49,-0.0265,0.9249,0.3125,0.49,-1.34,0.18,-4.33,-32.15,-49.1,sitting
2023-10-02 02:22:49,-0.0251,0.9305,0.3131,0.67,-1.71,-0.06,-4.46,-32.2,-49.33,sitting
2023-10-02 02:22:49,-0.0203,0.9277,0.314,0.55,-1.34,0.18,-4.61,-32.85,-49.57,sitting
2023-10-02 02:22:49,-0.0212,0.9274,0.3091,0.49,-1.77,0.0,-5.07,-32.31,-49.67,sitting
2023-10-02 02:22:49,-0.0211,0.9265,0.3177,0.79,-1.34,0.12,-4.57,-31.74,-48.82,sitting
2023-10-02 02:22:49,-0.0222,0.928,0.312,0.49,-1.4,0.12,-4.82,-32.14,-48.71,sitting
